TIME;HOME;AWAY;MATCH_ID;1;X;2;UG_0_2;UG_3_PLUS;UG_4_PLUS;GG;I_GG;GG_3_PLUS
20:45;Bala;Llanelli;758;1.52;4.05;4.95;2.0;1.7;2.85;1.75;4.75;2.2
20:45;Bangor;Carrick Rangers;770;2.45;3.5;2.55;2.1;1.65;2.68;1.53;4.05;1.92
20:45;Glentoran;Portadown;755;1.45;4.25;6.1;1.95;1.75;2.95;1.9;5.1;2.37
20:45;Ayr;Dunfermline;755;1.88;3.25;4.33;1.53;2.4;4.8;2.17;6.25;3.0
21:00;Getafe;Girona;885;2.15;3.05;4.15;1.5;2.6;5.35;2.23;6.7;3.25
21:00;Wrexham;Coventry;793;4.05;3.65;1.88;2.05;1.77;2.95;1.7;4.45;2.1
21:00;Ballinamallard;Ards;769;2.3;3.5;2.57;2.05;1.65;2.72;1.53;4.1;1.93
21:15;Sporting;Alverca;775;1.11;9.5;23.0;3.0;1.4;1.97;2.5;5.5;2.75
21:15;Alcorcon;Sevilla B;743;1.92;2.95;4.0;1.4;2.65;5.6;2.3;6.9;3.35
21:30;Iquique;La Serena;767;2.17;3.4;3.0;1.97;1.75;2.9;1.6;4.35;2.05
21:30;Gen. Caballero;Recoleta Asuncion;761;2.03;3.25;3.5;1.73;1.97;3.55;1.8;4.95;2.4
21:30;Dep. Concepcion;San Felipe;758;1.8;3.45;4.05;1.77;1.9;3.4;1.8;4.95;2.35
23:00;San Lorenzo;Dep. Riestra;759;1.93;2.9;5.0;1.28;3.5;8.25;2.9;8.75;4.6
23:00;Atletico GO;Paysandu;755;1.65;3.55;5.4;1.65;2.15;4.0;2.15;6.0;2.85
23:00;Coritiba;CRB;758;1.85;3.4;4.2;1.6;2.25;4.25;2.05;5.8;2.78
00:00;2 de Mayo;Atl. Tembetary;758;1.67;3.55;4.7;1.7;2.0;3.6;1.95;5.35;2.57
00:00;Wanderers;Boston River;759;3.4;3.0;2.25;1.57;2.25;4.3;1.95;5.6;2.72
00:00;San Marcos;Rangers;766;2.5;3.1;2.72;1.7;2.0;3.6;1.77;4.9;2.4
00:00;Toluca W;Puebla W;382;1.08;8.0;17.0;3.3;1.27;1.7;2.27;4.85;2.42
00:30;Wellington Olympic;Western Suburbs;385;1.47;5.25;4.25;4.5;1.15;1.45;1.22;2.55;1.32
01:00;Delfin;Dep. Cuenca;748;2.85;2.9;2.55;1.47;2.5;5.0;2.07;6.2;3.0
01:10;Estudiantes Rio Cuarto;Gimnasia Tiro;734;2.37;2.63;3.45;1.28;3.3;7.6;2.55;7.75;4.1
01:15;Instituto;Rosario;766;3.35;2.75;2.52;1.33;3.2;7.2;2.5;7.5;3.95
01:15;Newells;Union Santa Fe;782;3.1;3.05;2.45;1.57;2.35;4.55;2.0;5.75;2.8
01:30;Christchurch United;Auckland City;390;2.5;3.6;2.32;2.5;1.45;2.15;1.38;3.45;1.65
01:35;Ferroviaria;Criciuma;761;2.8;3.05;2.57;1.62;2.23;4.2;1.92;5.45;2.68
02:00;Alianza Lima;FBC Melgar;756;1.83;3.25;4.25;1.63;2.12;3.95;1.97;5.5;2.65
02:00;Necaxa;Santos Laguna;795;1.53;4.65;4.85;2.65;1.47;2.15;1.53;3.75;1.77
02:00;Correcaminos;Mineros Z.;388;3.55;3.7;1.8;2.1;1.63;2.65;1.57;4.2;1.95
02:00;Irapuato;CD Tapatio;388;1.67;3.7;4.1;2.07;1.65;2.68;1.62;4.33;2.0
02:00;Juarez W;Queretaro W;387;1.25;5.25;8.5;2.3;1.52;2.32;2.0;5.0;2.3
03:00;San Jose FC;CS Herediano;763;2.23;3.1;3.25;1.67;2.05;3.75;1.82;5.1;2.5
03:00;Auckland United;Coastal Spirit;390;1.67;4.1;3.75;2.7;1.38;2.0;1.4;3.45;1.63
03:00;Canberra Croatia;Avondale FC;764;6.9;5.1;1.33;3.0;1.33;1.87;1.53;3.8;1.77
04:00;Atl. San Luis;Juarez;796;2.2;3.45;3.05;2.1;1.73;2.8;1.6;4.15;2.0
04:00;Club Tijuana W;Pachuca W;390;6.1;4.85;1.35;3.0;1.32;1.82;1.55;3.7;1.7
04:00;Monterrey W;Atlas W;387;1.25;5.45;7.6;3.4;1.25;1.65;1.55;3.45;1.7
04:05;Puebla;Cruz Azul;794;4.5;3.85;1.7;2.15;1.67;2.72;1.67;4.35;2.03
05:00;Auckland FC;Adelaide Utd;800;1.77;4.05;3.9;2.18;1.67;2.7;1.63;4.25;1.97
05:15;Sydney Olympic;South Melbourne;766;3.4;3.45;1.97;2.03;1.7;2.8;1.6;4.3;2.03
06:00;Daejeon;Seoul;796;2.62;3.5;2.55;2.1;1.73;2.85;1.6;4.15;2.0
06:00;Gangwon;Jeonbuk;793;2.7;3.3;2.6;1.85;1.95;3.45;1.75;4.7;2.27
06:00;Gyeongnam;Seoul E.;762;4.4;3.9;1.7;1.97;1.75;2.95;1.72;4.65;2.17
06:00;Suwon Bluewings;Cheongju;760;1.3;5.7;8.25;2.6;1.45;2.13;1.73;4.4;2.03
07:00;Newcastle Jets;Sydney FC;808;2.55;3.9;2.37;2.95;1.4;2.0;1.37;3.2;1.57
08:30;Anyang;Ulsan HD;792;3.2;3.35;2.23;1.9;1.92;3.35;1.73;4.65;2.23
08:30;Sangju;Pohang;796;2.3;3.4;3.0;2.03;1.77;3.0;1.65;4.33;2.07
08:30;Changchun Yatai;Beijing Guoan;776;2.32;4.05;2.42;2.65;1.4;2.05;1.37;3.35;1.6
08:30;Shandong Taishan;Tianjin Tigers;769;1.43;4.85;5.45;3.0;1.33;1.87;1.45;3.55;1.65
08:30;Bucheon 1995;Ansan Greeners;761;1.7;3.75;4.7;1.85;1.85;3.25;1.83;4.95;2.35
08:30;Gimpo FC;Hwaseong;758;2.0;3.25;3.8;1.6;2.18;4.1;1.95;5.5;2.7
09:35;Macarthur FC;WS Wanderers;806;2.57;3.7;2.45;2.4;1.55;2.37;1.48;3.65;1.77
10:00;Bacau;Selimbar;767;2.2;3.35;2.95;1.8;1.9;3.35;1.7;4.7;2.25
10:00;CSM Slatina;Chindia;767;2.72;3.3;2.4;1.73;1.97;3.5;1.73;4.85;2.33
10:00;Ceahlaul;CSM Satu Mare;764;1.77;3.65;3.95;1.95;1.75;2.95;1.67;4.55;2.12
